body_part,sub_category,symptom_description,twi_translation
Mouth & Throat,Throat Pain,"It is highly painful to swallow anything, even my own saliva.","Ɛyɛ yaw kɛse sɛ wɔbɛmene biribiara, mpo m'ankasa ntasu."
Mouth & Throat,Throat Pain,"I feel a sharp, piercing pain localized on one side of my tonsils.","Mete ɔyaw a ano yɛ dɛn a ɛda m'amen toɔsi baako fam pɛɛ."
Mouth & Throat,Throat Pain,"There is a sensation of severe burning heat at the back of my throat.","Mete ɔhyew a ano yɛ den wɔ m'amen akyi."
Mouth & Throat,Swallowing & Lumps,"It feels like there is a heavy lump stuck in my throat that refuses to go down.","Ɛte sɛ nea biribi duru bi asian wɔ m'amen mu a ɛmpɛ sɛ ɛsian kɔ."
Mouth & Throat,Swallowing & Lumps,"My food feels like it is getting stuck halfway down my throat.","M'aduane te sɛ nea ɛresian wɔ m'amen mu mfimfini."
Mouth & Throat,Swallowing & Lumps,"There is a tight, choking sensation in my throat as if something is pressing it.","Mete sɛ nea biribi rekyekyere m'amen mu denneennen sɛ nea ɛrehyɛ no so."
Mouth & Throat,Swallowing & Lumps,"Swallowing is very difficult, like forcing food through a narrow, painful passage.","Menenee yɛ den kɛse, sɛ nea worepia aduane fa kwan a ɛyɛ teateaa na ɛyɛ yaw mu."
Mouth & Throat,Mouth & Tongue,"My tongue feels heavily swollen and too large for my mouth.","Me tɛkyerɛma ahono kɛse na aso dodo ma m'ano."
Mouth & Throat,Mouth & Tongue,"I have developed highly painful sores on my gums and the inside of my cheeks.","Mewɔ akuru a ɛyɛ yaw kɛse wɔ m'ase ne m'afono mu."
Mouth & Throat,Mouth & Tongue,"My mouth is completely dry, as if there is no saliva left at all.","M'ano awu koraa, sɛ nea ntasu biara nni mu."
Mouth & Throat,Mouth & Tongue,"I have a constant bitter or metallic taste in my mouth that will not go away.","Mewɔ nka a ɛyɛ nwononwono anaa dadde teɛ wɔ m'ano a ɛrenkɔ da."
Mouth & Throat,Mouth & Tongue,"My gums are swollen, bleeding, and very painful whenever I touch them.","M'ase ahono, ɛreyi mogya, na ɛyɛ yaw kɛse sɛ mede me nsa ka a."
Jaw,Pain & Clicking,"My jaw makes a clicking sound and locks completely when I try to open my mouth.","Sɛ mepɛ sɛ mibue m'ano a, m'abɔne yɛ nnyigyei na ɛsi koraa."
Jaw,Pain & Clicking,"I feel a deep, severe ache spreading across my entire jawbone.","Mete ɔyaw a emu yɛ duru na ɛtrɛ wɔ m'abɔne mu nyinaa."
Jaw,Pain & Clicking,"My jaw joint is so stiff and painful that I cannot open my mouth wide.","M'abɔne hyɛn mu yɛ den na ɛyɛ yaw araa ma mintumi mmue m'ano mu kɛse."
Jaw,Pain & Clicking,"I can hear and feel a grinding sensation in my jaw joint whenever I chew.","Sɛ mewe a, mete na mete sɛ biribi rewɔ m'abɔne hyɛn mu."
Jaw,Pain & Clicking,"My jaw occasionally gets stuck, and I have to force it to move.","M'abɔne si kɛtɛkɛtɛ, na ɛsɛ sɛ mede ahoɔden ka no ansa na atu."
Jaw,Radiating & Referred Pain,"The severe pain in my jaw is shooting directly up into my ear.","Ɔyaw kɛse a ɛwɔ m'abɔne mu no rekorɔ kɔ m'aso mu tẽẽ."
Jaw,Radiating & Referred Pain,"I feel a sharp, electric-like pain shooting across my cheek.","Mete ɔyaw a ano yɛ dɛn sɛ ɛlektrɔnik a ɛretwa m'afono mu."
Jaw,Radiating & Referred Pain,"My temples are throbbing so hard that I can feel the pulse with my fingers.","M'anim anim rehunu denneennen araa ma metumi de me nsateaa aka mogya a ɛretu no."
Jaw,Radiating & Referred Pain,"The heavy ache in my jaw is traveling down into my neck and shoulder.","Ɔyaw duru a ɛwɔ m'abɔne mu no rekɔ m'ekyɛn ne m'abatire mu."
Jaw,Function & Stiffness,"It causes me great pain to chew even very soft food.","Sɛ mewe aduane a ɛyɛ mmerɛ mpo a, ɛma me yaw kɛse."
Jaw,Function & Stiffness,"One side of my face feels completely numb and tingling.","M'anim fa baako ayɛ dinn koraa na ɛrewoso."
Jaw,Function & Stiffness,"I am unable to open my mouth wide enough to take a bite of food.","Mintumi mmue m'ano mu kɛse sɛnea ɛbɛyɛ a metumi aka aduane."
Jaw,Function & Stiffness,"My jaw feels heavily stiff and locked, especially when I wake up in the morning.","M'abɔne yɛ den kɛse na asi, titiriw sɛ menyane anɔpa a."
Head,Headache Types,"I feel a tight, heavy pressure squeezing all around my head.","Mete nhyɛsoɔ a emu yɛ duru a ɛrekyim me tiri ho nyinaa."
Head,Headache Types,"There is a heavy, rhythmic throbbing pounding inside my skull.","Mewɔ ɔyaw duruduru a emu yɛ duru na ɛrehunu wɔ me tiri mu."
Head,Headache Types,"I am experiencing a sharp, piercing pain right behind one of my eyes.","Mete ɔyaw a ano yɛ dɛn a ɛwɔ m'ani baako akyi pɛɛ."
Head,Headache Types,"I have a deep, boring pain that feels like it is drilling inside my skull.","Mewɔ ɔyaw a emu yɛ duru a ɛte sɛ nea ɛretu hyɛ me tiri mu."
Head,Headache Types,"My head feels so full of pressure that it feels like it will burst.","Me tiri mu ayɛ nhyɛsoɔ ma araa ma ɛte sɛ nea ɛrepae."
Head,Headache Types,"I have a severe throbbing headache on just one side that worsens when I move.","Mewɔ tiri yaw a ano yɛ den na ɛrehunu wɔ ɔfa baako pɛ a sɛ mekeka me ho a ɛyɛ kɛse."
Head,Pressure & Heaviness,"My head feels incredibly heavy, as if my neck cannot support it.","Me tiri mu yɛ duru kɛse araa, sɛ nea m'ekyɛn rentumi nsoa."
Head,Pressure & Heaviness,"There is a severe, heavy weight sitting directly on top of my head.","Mewɔ duru kɛse a ɛda me tiri so pɛɛ."
Head,Pressure & Heaviness,"My entire head feels highly congested, full, and heavy.","Me tiri nyinaa mu ayɛ ma, ayɛ duru, na ayɛ duru."
Head,Pressure & Heaviness,"It feels as though my head has been wrapped too tightly with a band.","Ɛte sɛ nea wɔde ntama akyekyere me tiri mu denneennen."
Head,Sensitivity,"Whenever light hits my eyes, a sharp pain shoots straight into my brain.","Sɛ hann bɔ m'ani a, ɔyaw a ano yɛ dɛn no hyɛ m'amene mu tẽẽ."
Head,Sensitivity,"The slightest noise sends a painful shock through my entire head.","Nnyigyei kakraa bi mpo de ɔyaw a ɛyɛ hu ba me tiri mu nyinaa."
Head,Sensitivity,"My scalp is so tender that even touching my hair lightly causes pain.","Me tiri nwi mu yɛ mmerɛ araa ma sɛ mede me nsa ka me nwi kakraa mpo a ɛyɛ yaw."
Head,Sensitivity,"Strong odors make my headache become completely unbearable.","Ahome nka a emu yɛ den ma me tiri yaw no yɛ kɛse a wontumi nnyina ano."
Scalp & Hair,Scalp Pain,"My scalp is so tender and painful that combing my hair is an agony.","Me tiri nwi mu yɛ mmerɛ na ɛyɛ yaw araa ma sɛ misan me nwi a ɛyɛ amanehunu."
Scalp & Hair,Scalp Pain,"There are patches on my scalp that feel like they are burning and stinging.","Mewɔ mpaapaawa wɔ me tiri nwi mu a ɛte sɛ nea ɛrehye na ɛrewɔ."
Scalp & Hair,Scalp Pain,"I feel a crawling or tingling sensation moving all over my scalp.","Mete sɛ nea biribi rekeka wɔ me tiri nwi mu nyinaa."
Scalp & Hair,Scalp Pain,"I am experiencing a sharp, localized pain on one specific spot of my scalp.","Mete ɔyaw a ano yɛ dɛn wɔ me tiri nwi mu baabi pɔtee bi."
Scalp & Hair,Scalp Condition,"My scalp is covered in heavy, itchy flakes and white scales.","Me tiri nwi mu ayɛ ma nsesaawa a ɛyɛ duru na ɛreyɛ titiri."
Scalp & Hair,Scalp Condition,"My scalp feels very greasy, hot, and irritated no matter how well I wash it.","Me tiri nwi mu yɛ ngo, ɛyɛ hyew, na ɛhaw me sɛ mehohoro no yiye mpo a."
Scalp & Hair,Scalp Condition,"Small, painful bumps and rashes have broken out across my scalp.","Nketewa, a ɛyɛ yaw ne nkuru a apae wɔ me tiri nwi mu."
Scalp & Hair,Hair,"My hair is breaking and falling out in large quantities when I comb it.","Me nwi reyɛ mmerɛ na ɛretɔ gu sɛ misan a."
Scalp & Hair,Hair,"I have developed a completely smooth, bald patch on my head.","Mewɔ baabi a ayɛ tɔtrɔɔɛ koraa wɔ me tiri so a nwi nni hɔ."
Neck,Stiffness & Mobility,"My neck is completely stiff and locked; I cannot turn it at all.","Me kɔn ayɛ den koraa na asi; mintumi nnane no koraa."
Neck,Stiffness & Mobility,"Turning my head sends a sharp, shooting pain directly into my shoulder.","Sɛ midan me tiri a, ɔyaw a ano yɛ dɛn no kɔ m'abatire mu tẽẽ."
Neck,Stiffness & Mobility,"My neck feels as stiff as a piece of wood when I wake up in the morning.","Me kɔn yɛ den sɛ dua sɛ menyane anɔpa a."
Neck,Stiffness & Mobility,"I cannot tilt my head backward without feeling a sharp, stabbing pain.","Mintumi mmoa me tiri nkyɛnkyɛn akyi koraa a minnya ɔyaw a ano yɛ dɛn."
Neck,Pain & Aching,"The muscles in my neck feel extremely tight, tense, and strained.","Me kɔn mu ntini ayɛ den kɛse, ayɛ den, na ɛrehaw."
Neck,Pain & Aching,"I have a deep, burning ache localized at the base of my skull.","Mewɔ ɔyaw a emu yɛ duru na ɛrehye wɔ me tiri ase pɛɛ."
Neck,Pain & Aching,"It feels like a hot, piercing iron is being forced into the back of my neck.","Ɛte sɛ nea dadde a ɛyɛ hyew a ano yɛ dɛn rehyɛ me kɔn akyi."
Neck,Pain & Aching,"My neck aches constantly, as if I have been carrying a heavy load on my head.","Me kɔn yɛ me yaw daa, sɛ nea masoa nneɛma duru wɔ me tiri so."
Neck,Nerve & Radiating Pain,"A sharp, electric pain is shooting from my neck straight down into my arm.","Ɔyaw a ano yɛ dɛn sɛ ɛlektrɔnik refiri me kɔn mu akɔ me basa mu tẽẽ."
Neck,Nerve & Radiating Pain,"My neck pain is causing a tingling, vibrating numbness in my fingers.","Me kɔn yaw no ma me nsateaa mu yɛ dinn na ɛrewoso."
Neck,Nerve & Radiating Pain,"The pain at the back of my neck travels all the way up into my head.","Ɔyaw a ɛwɔ me kɔn akyi no kɔ me tiri mu koraa."
Neck,Nerve & Radiating Pain,"I am experiencing a dead, numb sensation in my arm that originates from my neck.","Mete nka a ayɛ dinn wɔ me basa mu a efi me kɔn mu."
Brain & Neurological,Dizziness & Balance,"The entire room is spinning around me and I cannot stand steadily.","Dan no nyinaa retwa me ho hyia, na mintumi nnyina hɔ pintinn."
Brain & Neurological,Dizziness & Balance,"I feel completely off-balance, as if the ground is moving under my feet.","Me ho nsi me yie koraa, sɛ nea ɛfam rekeka wɔ me nan ase."
Brain & Neurological,Dizziness & Balance,"I feel suddenly lightheaded, like all the blood has left my head.","Mete sɛ nea me tiri mu yɛ hare prɛko pɛ, sɛ nea mogya nyinaa afiri me tiri mu."
Brain & Neurological,Dizziness & Balance,"Everything appears tilted and I feel myself leaning heavily to one side.","Biribiara bɔ me sɛ nea ɛkyea, na mete sɛ merehwe ɔfa baako denneennen."
Brain & Neurological,Dizziness & Balance,"I feel a rocking sensation, as if I am on a boat at sea, even when standing still.","Mete sɛ nea ɛrehim, sɛ nea mewɔ ɔkodo mu wɔ ɛpo so, sɛ megyina pintinn mpo a."
Brain & Neurological,Consciousness & Cognition,"I feel completely disconnected from my surroundings, as if walking in a fog.","Mete sɛ nea minni abusuabɔ biara ne m'atwa ho nneɛma, sɛ nea menam wusiw mu."
Brain & Neurological,Consciousness & Cognition,"My thoughts are very slow and confused; my brain refuses to work properly.","M'adwene mu yɛ den na ayɛ basaa; m'amene mpɛ sɛ ɛyɛ adwuma yiye."
Brain & Neurological,Consciousness & Cognition,"I suddenly forgot where I was and could not remember what I was doing.","M'ani so were fii baabi a mewɔ prɛko pɛ, na na mintumi nkae deɛ mereyɛ."
Brain & Neurological,Consciousness & Cognition,"I experienced a blank moment where I completely lost consciousness for a few seconds.","Mewɔ ɛberɛ bi a na m'ani so ayɛ dinn a m'ani so fii me koraa simma kakra."
Brain & Neurological,Consciousness & Cognition,"My brain feels loose, as if it is shaking inside my skull when I move.","M'amene te sɛ nea abɛn, sɛ nea ɛrewoso wɔ me tiri mu sɛ mekeka me ho a."
Brain & Neurological,Sensory Disturbances,"I am seeing sudden flashes of light and bright patterns before my eyes.","Mihu nkanea a ɛretwa prɛko pɛ ne nsusuiɛ a ɛhyerɛn wɔ m'ani so."
Brain & Neurological,Sensory Disturbances,"One side of my face suddenly became completely numb and tingled.","M'anim fa baako ayɛ dinn koraa na ɛrewoso prɛko pɛ."
Brain & Neurological,Sensory Disturbances,"My speech suddenly became heavy and slurred; I could not form words.","Me kasa mu yɛɛ duru na ayɛ basaa; na mintumi mmɔ nsɛm."
Brain & Neurological,Sensory Disturbances,"One half of my body suddenly became completely weak and heavy.","Me nipadua fa baako mu yɛɛ mmerɛ na ayɛ duru prɛko pɛ."
Brain & Neurological,Sensory Disturbances,"I feel a strange crawling or electrical sensation moving across my scalp.","Mete nka bi a ɛyɛ nwanwa sɛ nea ɛrekeka anaa ɛlektrɔnik a ɛrenam me tiri nwi mu."
Chest,Cardiac-Style Pain,"I feel a severe, heavy weight sitting directly on my chest, like a heavy load.","Mete duru kɛse a ɛda me koko so pɛɛ, sɛ nneɛma duru."
Chest,Cardiac-Style Pain,"There is a tight, crushing compression right in the middle of my breastbone.","Mewɔ nhyɛsoɔ a emu yɛ den a ɛrebrɛ me koko mfimfini pɛɛ."
Chest,Cardiac-Style Pain,"It feels as though my chest is being heavily squeezed from all sides.","Ɛte sɛ nea wɔrekyim me koko denneennen firi afa nyinaa."
Chest,Cardiac-Style Pain,"I am feeling a deep, heavy, bruised ache inside my chest.","Mete ɔyaw a emu yɛ duru, a ayɛ kuru wɔ me koko mu."
Chest,Cardiac-Style Pain,"The pain started in my chest and is shooting straight up into my jaw.","Ɔyaw no fii me koko mu na ɛreforo kɔ m'abɔne mu tẽẽ."
Chest,Cardiac-Style Pain,"I feel a tight, gripping pain clenching right behind my breastbone.","Mete ɔyaw a emu yɛ den a ɛrekyim wɔ me koko dompe akyi pɛɛ."
Chest,Cardiac-Style Pain,"It feels as if something is tightly gripping my heart inside my chest.","Ɛte sɛ nea biribi rekyim m'akoma denneennen wɔ me koko mu."
Chest,Respiratory & Breathing,"I feel a sharp, piercing pain in my chest every time I take a deep breath.","Mete ɔyaw a ano yɛ dɛn wɔ me koko mu bere biara a mehome denneennen."
Chest,Respiratory & Breathing,"I cannot catch my breath properly; it feels like my airway is restricted.","Mintumi nhome yiye; ɛte sɛ nea m'ahome kwan no abɔ."
Chest,Respiratory & Breathing,"My chest and lungs feel a severe burning heat whenever I inhale.","Sɛ mehome mu a, me koko ne m'ahrawa mu hyehye me denneennen."
Chest,Respiratory & Breathing,"My breathing gets cut short halfway; I cannot take a full breath.","M'ahome twa mu wɔ mfimfini; mintumi nhome mma."
Chest,Respiratory & Breathing,"My chest feels so tight that my ribs refuse to expand.","Me koko mu yɛ den araa ma me mfeɛ mpɛ sɛ ɛtrɛ."
Chest,Respiratory & Breathing,"I feel like I am suffocating or choking, even though I am breathing fast.","Mete sɛ nea m'ahome rekyere me anaa ɛretwa, sɛ mehome ntɛm mpo a."
Chest,Respiratory & Breathing,"Every time I cough, it feels as if something is tearing inside my chest.","Bere biara a meworo no, ɛte sɛ nea biribi retete wɔ me koko mu."
Chest,Respiratory & Breathing,"I can hear a whistling or wheezing sound in my chest when I breathe out.","Sɛ mehome gu a, mete nnyigyei bi sɛ abɛn anaa nnyigyei wɔ me koko mu."
Chest,Palpitations,"My heart is flipping and jumping around inside my chest.","M'akoma redane na ɛrehuri wɔ me koko mu."
Chest,Palpitations,"My heart is racing at a terrifying speed for no clear reason.","M'akoma rekwane ntɛm a ɛyɛ hu a minnim nea enti."
Chest,Palpitations,"My heart suddenly missed a beat and then thumped with great force.","M'akoma bɔ twaa prɛko pɛ, na afei ɛbɔɔ denneennen."
Chest,Palpitations,"I feel a rapid fluttering sensation inside my chest, like a trapped bird.","Mete sɛ nea biribi rehuri ntɛm wɔ me koko mu, sɛ anomaa a wɔakyere."
Chest,Palpitations,"I can feel my pulse pounding violently right up into my throat.","Mete sɛ mogya a ɛretu no rebɔ denneennen kɔ m'amen mu pɛɛ."
Chest,Musculoskeletal Chest Pain,"It hurts severely at the exact spot where I press my finger on my ribs.","Ɛyɛ yaw kɛse wɔ baabi pɔtee a mede me nsateaa hyɛ me mfeɛ so no."
Chest,Musculoskeletal Chest Pain,"It feels as though I have severely sprained a major muscle across my chest.","Ɛte sɛ nea m'ani so ate ntini kɛse bi a ɛfa me koko mu."
Chest,Musculoskeletal Chest Pain,"Twisting my body sends a sharp, stabbing pain shooting through my ribs.","Sɛ midan me nipadua a, ɔyaw a ano yɛ dɛn no hyɛ me mfeɛ mu."
Chest,Musculoskeletal Chest Pain,"My chest wall feels extremely sore and tender to the touch.","Me koko fasu yɛ yaw kɛse na ɛyɛ mmerɛ sɛ wɔde ka a."
Heart & Cardiovascular,Heartburn & Esophageal,"I feel a severe burning fire climbing from my stomach up into my throat.","Mete ogya a ɛrehye denneennen a ɛrefiri me yafunu mu akɔ m'amen mu."
Heart & Cardiovascular,Heartburn & Esophageal,"Whenever I swallow, the food feels like it is stuck right behind my breastbone.","Sɛ menene a, aduane no te sɛ nea asi wɔ me koko dompe akyi pɛɛ."
Heart & Cardiovascular,Heartburn & Esophageal,"I have terrible heartburn and I am breaking out in a cold, heavy sweat.","Mewɔ yafunu hyew a ano yɛ den, na fifiri a ɛyɛ duru retu."
Heart & Cardiovascular,Heartburn & Esophageal,"I have a sharp chest pain that becomes much worse when I lie flat on my back.","Mewɔ koko yaw a ano yɛ dɛn a sɛ meda m'akyi a ɛyɛ kɛse."
Heart & Cardiovascular,Heartburn & Esophageal,"There is a constant sour, acidic fluid rising into the back of my mouth.","Nsuo a ɛyɛ nwononwono, a ɛyɛ acid no rekɔ m'ano akyi daa."
Heart & Cardiovascular,Circulation & Vascular,"My feet feel icy cold even though the weather or room is warm.","Me nan yɛ nwunu sɛ nwunu sɛ wim tae yɛ hyew mpo a."
Heart & Cardiovascular,Circulation & Vascular,"My legs feel extremely heavy, tired, and weak after walking a short distance.","Me nan mu yɛ duru kɛse, abrɛ, na ayɛ mmerɛ sɛ menantew kakra a."
Heart & Cardiovascular,Circulation & Vascular,"My veins appear swollen and I can feel them throbbing under my skin.","Me ntini ahono, na mete sɛ ɛrehunu wɔ me honam ase."
Heart & Cardiovascular,Circulation & Vascular,"One of my legs has swollen significantly larger than the other for no reason.","Me nan baako ahono kɛse asen nea ɛka ho a minnim nea enti."
Heart & Cardiovascular,Circulation & Vascular,"My fingertips turn completely white and numb whenever I experience cold.","Sɛ nwunu ka me a, me nsateaa ano yɛ fitaa koraa na ɛyɛ dinn."
Lungs & Breathing,Cough & Airways,"I have a deep, rattling cough that brings up thick, colored phlegm.","Mewɔ ɔworo a emu yɛ duru a ɛma nsuo a ɛyɛ duru, a ɛyɛ ahosuo pue."
Lungs & Breathing,Cough & Airways,"I am coughing so severely that I am retching and cannot catch my breath.","Mereworo denneennen araa ma merefe na mintumi nhome."
Lungs & Breathing,Cough & Airways,"There is a loud, tight wheezing sound whenever I breathe out.","Nnyigyei kɛse a ɛyɛ den ba sɛ mehome gu a."
Lungs & Breathing,Cough & Airways,"My throat and airway feel like they are closing up and becoming narrow.","M'amen ne m'ahome kwan te sɛ nea ɛreto mu na ɛreyɛ teateaa."
Lungs & Breathing,Cough & Airways,"I noticed that I coughed up sputum mixed with blood.","Mihui sɛ nsuo a meworo no de mogya abom."
Lungs & Breathing,Breathlessness,"I become heavily short of breath just by walking to the next room.","Sɛ menantew kɔ dan foforo mu mpo a, m'ahome twa me."
Lungs & Breathing,Breathlessness,"I must sit upright to breathe; lying flat on my bed makes it impossible.","Ɛsɛ sɛ metena ase tẽẽ na mehome; sɛ meda m'akyi wɔ mpa so a, ɛyɛ den."
