body_part,sub_category,original_english,twi_translation
Mouth & Throat,Swallowing & Lumps,There's a constant tightness in my throat like something is pressing on it.,"Biribi pɛ sɛ ɛsisi me mene mu, ɛyɛ me hyehyɛ."
Knee,Swelling & Locking,My knee is so swollen and stiff it won't bend past a right angle.,Biribi resese me kotodwe akyi a ɛntwa.
Ankle & Foot,Nerve & Sensation,"There's a burning, electric sensation in the sole of my foot.",Biribi retete me nan ase te sɛ ogya.
Knee,Pain & Aching,"I have a sharp, stabbing pain on the inner side of my knee.","Biribi retu me kotodwe mu, ɛyɛ me ya."
Spine & Sciatica,Nerve & Sensory,I feel a weird crawling sensation running along my spine.,"Biribi te sɛ nea ɛretu wɔ me akyi nnompe so, ɛyɛ me nwanwa."
Ears,Discharge & Sensation,"There's a wet, draining feeling deep inside my ear.",Biribi te sɛ nsuo retwa me aso mu kɔ.
Head,Headache Types,"I have a deep, drilling pain that feels like it's inside my skull.","Biribi worɔ me tiri mu denneennen, ɛyɛ me ya paa."
Spine & Sciatica,Nerve & Sensory,There's a constant buzzing or vibrating feeling in my lower back.,Biribi woso me kyɛrɛw mu daa.
Brain & Neurological,Dizziness & Balance,Everything looks tilted and I feel like I'm leaning to one side.,Biribiara dɛn na ɛte sɛ nea me ho abɔ nkyɛn koro.
Eyes,Light & Sensitivity,I have to squint constantly because everything looks too bright.,"Biribiara hyerɛn dodo nti, ɛsɛ sɛ mebue me ani ketewa daadaa."
Skin,Texture & Sensation,My skin crawls and itches even when nothing is visibly touching it.,Biribiara nka me nanso me honam yɛ me krakra na ɛyɛ me ho.
Wrist & Hand,Nerve & Sensation,My hand keeps falling asleep and going completely dead.,Da biara me nsa dwiri na ɛyɛ mimm.
Heart & Cardiovascular,Heartburn & Esophageal,"There's a constant sour, acidic taste rising into the back of my mouth.",Daduro a ɛyɛ dɛdɛɛdɛ na ɛreba me menemu daa.
Heart & Cardiovascular,Heartburn & Esophageal,"There's a constant sour, acidic taste rising into the back of my mouth.",Daduro a ɛyɛ dɛdɛɛdɛ na ɛreba me menemu.
Eyes,Light & Sensitivity,Even normal room light makes my eyes ache and water.,Dan mu kanea mpo ma me ani yere na ɛsu.
Eyes,Light & Sensitivity,Even normal room light makes my eyes ache and water.,Dan mu kanea no nko ara ma me ani yere na ɛbɔ asuo.
General & Systemic,Fever & Temperature,I keep sweating through my clothes even when the room is cold.,Dan no mu yɛ awɔ nanso me ho nsuo retwi me ntadeɛ mu.
Ankle & Foot,Nerve & Sensation,My feet feel icy cold even though the room is perfectly warm.,Dan no mu yɛ hye nanso me nan yɛ me nsuo.
Brain & Neurological,Dizziness & Balance,The room is spinning and I can't find the floor.,Dan no redan me na menhu fam.
Brain & Neurological,Dizziness & Balance,The room is spinning and I can't find the floor.,Dan no redan me na menya fam nni.
Brain & Neurological,Dizziness & Balance,The room is spinning and I can't find the floor.,Dan no rekyinkyin na me ho nsi me yie.
Brain & Neurological,Dizziness & Balance,The room is spinning and I can't find the floor.,Dan no rekyinkyin na menhu baabi a fam no wɔ.
Chest,Musculoskeletal Chest Pain,Twisting my torso sends a sharp pain shooting through my ribs.,Dane a medane me gya no ma ɛyɛ me ya takaa wɔ me mpatakuo mu.
Hip,Pain & Aching,My hip feels like bone is rubbing directly on bone when I walk.,Dompe ne dompe na ɛretwitwa me sɛnkyɛn bere a meretambu.
Eyes,Vision Changes,There's a dark shadow or curtain dropping across part of my vision.,Duku tuntum bi reba m'ani fã bi so te sɛ nkataho.
Eyes,Vision Changes,My central vision has a blurry or dark spot right in the middle.,Ebi a ɛyɛ tuntum anaa ɛnyɛ na wɔ m'ani mfinimfini.
Eyes,Vision Changes,My central vision has a blurry or dark spot right in the middle.,Ebi a ɛyɛ tuntum si m'ani mfinimfini hɔ pɛ.
Brain & Neurological,Consciousness & Cognition,I suddenly couldn't remember where I was or what I was doing.,"Edukannim, memannya nea megyina anaa nea mereyɛ."
Lower Abdomen,Acute & Severe,It feels like something inside just ruptured or popped.,"Emu hyeɛ a, ɛte sɛ adeɛ bi a atwi."
Mouth & Throat,Throat Pain,My throat is so raw and sore it burns with every swallow.,"Ene m'asuo a meremine mpo, ɛyɛ me ya."
Eyes,Pain & Pressure,It feels like there's sand or grit stuck under my eyelid.,Ete se anwea bi akye me aniwa ase.
Eyes,Pain & Pressure,It feels like there's sand or grit stuck under my eyelid.,Ete se anwea rebɔ me aniwa ase.
Eyes,Pain & Pressure,"There's a sharp, stabbing pain behind my eyeball.",Ete se biribi rebɔ me aniwa akyi tɛtɛ.
Eyes,Pain & Pressure,It feels like my eye is being squeezed from the inside.,Ete se biribi remimatɛ me aniwa firi mu.
Eyes,Pain & Pressure,It feels like there's sand or grit stuck under my eyelid.,Ete se biribi te se anwea wɔ me aniwa ase.
Eyes,Pain & Pressure,It feels like my eye is being squeezed from the inside.,Ete se me aniwa mu rehyehyɛ me.
Lungs & Breathing,Chest Feeling,It feels like there's a heavy fluid or weight sitting on my lungs.,Ete sɛ adeɛ bi a ɛyɛ duru da me nufu so
Jaw,Pain & Clicking,"It feels like a deep, agonizing toothache spread all across my jaw.",Ete sɛ se ya a emu yɛ duru na akye me bɔdwe nyinaa.
Jaw,Pain & Clicking,"It feels like a deep, agonizing toothache spread all across my jaw.",Ete sɛ se ya a ɛyɛ ya paa na atrɛ akye me bɔdwe nyinaa.
Kidney & Flank,Associated Symptoms,I have a fever and chills along with this deep aching in my back.,"Fiva ne hohoro reka me, na me m’akyi no nso yɛ me ya kɛseɛ."
Mouth & Throat,Throat Pain,It hurts to swallow even my own saliva.,Gya sram bi da me menewa akyi te sɛ nea ɛreyɛ me hye.
Lungs & Breathing,Breathlessness,I have to sit upright to breathe comfortably — lying flat is impossible.,"Gye sɛ metena hɔ teɛ ansa na me home ayɛ me dwoodwoo, me ne me nsa kɔ na hɔ mpo a, ɛnyɛ yie."
Lungs & Breathing,Breathlessness,I have to sit upright to breathe comfortably — lying flat is impossible.,"Gye sɛ metena hɔ teɛ na mahome dwoodwoo, me ne me nsa kɔ na hɔ a ɛnyɛ yie koraa."
Head,Sensitivity,"Every time light hits my eyes, a spike shoots through my brain.",Hann a ɛwɔ m'ani no ma me ti mu yɛ me ya paa.
Head,Sensitivity,"Every time light hits my eyes, a spike shoots through my brain.","Hann bɛka m'ani no, me ti mu yɛ me ya sɛ deɛ wɔde nsono apopae me ti."
Eyes,Light & Sensitivity,Bright light feels like a spike being driven through my eye.,Hann no dɔ me ani sɛ dadeɛ a wɔretua mu.
Eyes,Light & Sensitivity,Bright light feels like a spike being driven through my eye.,Hann no yɛ me ani sɛ dadeɛ a ɛtua mu.
Eyes,Light & Sensitivity,Bright light feels like a spike being driven through my eye.,Hann no yɛ me ani sɛ nea wɔde akuma retua mu.
Eyes,Light & Sensitivity,Bright light feels like a spike being driven through my eye.,Hann no yɛ me ani sɛ nea wɔde dadeɛ retua mu.
Head,Sensitivity,"Every time light hits my eyes, a spike shoots through my brain.","Hann rekɔ m'ani a, ɛyɛ me ya paa wɔ me ti mu."
General & Systemic,Fever & Temperature,I'm burning up with a fever and every joint in my body aches.,Homane ahyɛ me ma me nkwaboa nyinaa yɛ me ya.
Chest,Respiratory & Breathing,"I can't seem to catch my breath, like I'm breathing through a straw.","Home no nni me mu, ɛte sɛ deɛ merehome efiri fɛɛfoɔ mu."
Chest,Respiratory & Breathing,"I can't seem to catch my breath, like I'm breathing through a straw.","Home no yɛ me den, ɛte sɛ deɛ merehome efiri fɛɛfoɔ ketewa bi mu."
Nose,Discharge & Irritation,Thick yellow-green mucus is draining down the back of my throat.,Hwenetwam a ɛyɛ duru ne ɛkɔkɔɔ-fitaa nam me mene mu resi fam.
Nose,Discharge & Irritation,Thick yellow-green mucus is draining down the back of my throat.,Hwenetwam a ɛyɛ duru ne ɛkɔkɔɔ-fitaa resi me kɔn mu.
Nose,Discharge & Irritation,Thick yellow-green mucus is draining down the back of my throat.,Hwenetwam a ɛyɛ kɔkɔɔ-fitaa a ɛyɛ duru resi me mene mu.
Nose,Smell & Sensation,"Everything I smell has a foul, rotten odour that isn't real.",Hwi a mete nyinaa yɛ dɔteɛ na ɛnyɛ nokware.
Nose,Smell & Sensation,"Everything I smell has a foul, rotten odour that isn't real.",Hwi biara a mete no yɛ fɔn nti ɛnyɛ nokware.
Nose,Smell & Sensation,"Everything I smell has a foul, rotten odour that isn't real.","Hwi biara a mete no, ɛfɔn bɔne nti ɛnyɛ nokware."
Head,Sensitivity,Strong smells are making my headache unbearably worse.,Hwireɛ a ɛmu yɛ denden ma me ti mu yɛ me ya a ɛboro so.
Head,Sensitivity,Strong smells are making my headache unbearably worse.,Hwireɛ a ɛyɛ denden no ma me ti mu yɛ me ya kɛse.
Head,Sensitivity,Strong smells are making my headache unbearably worse.,"Hwireɛ a ɛyɛ denden no ma me ti yɛ me ya, na ɛno na ɛma ɛyɛ me ya sen kan."
Head,Sensitivity,Strong smells are making my headache unbearably worse.,Hwireɛ biara a ɛyɛ denden no ma me ti yɛ me ya paa na mentumi ngyina ano.
Lower Back,General Lumbar Pain,"I have a dull, heavy ache right across my beltline.","I have a dull, heavy ache right across my beltline."
Nose,Discharge & Irritation,There's a constant drip at the back of my throat making me cough.,Isu bi resu wɔ me menemu akyi na ɛma me wosow.
Lower Back,Spine & Structural,It feels like my vertebrae are grinding together like sandpaper.,It feels like my vertebrae are grinding together like sandpaper.
Lower Back,General Lumbar Pain,It hurts to bend forward even an inch — my back just freezes.,It hurts to bend forward even an inch — my back just freezes.
Eyes,Light & Sensitivity,Bright light feels like a spike being driven through my eye.,Kanea no te sɛ dadeɛ a ɛtua me ani.
Kidney & Flank,Associated Symptoms,The pain gets much worse when the car goes over a bump.,"Kar no de me fa kwan a ɛnyɛ pɛ so a, ɛma me yareɛ no yɛ me ya paa."
Kidney & Flank,Associated Symptoms,The pain gets much worse when the car goes over a bump.,"Kar no di kwan a ɛsõ a, me yareɛ no yɛ me ya yie."
Wrist & Hand,Pain & Tenderness,There's a constant aching throb deep inside my wrist joint.,M'abasam no mu yɛ me ya dadeɛdada
Wrist & Hand,Pain & Tenderness,I have a sharp pain in my wrist every time I twist or rotate it.,M'abasam yɛ me ya bere biara a me dane no
Upper Back,Muscle & Soft Tissue,It feels like a giant knot is jammed right between my shoulder blades.,M'abɔdwe mmienu ntam ho yɛ me den sɛ adeɛ bi a ɛhyɛ hɔ.
Upper Back,Muscle & Soft Tissue,It feels like a giant knot is jammed right between my shoulder blades.,M'abɔdwe mmienu ntam hɔ ayɛ me sɛ nea adeɛ bi a ɛyɛ duru da hɔ.
Upper Back,Muscle & Soft Tissue,It feels like someone is pressing a hot iron against my shoulder blade.,M'abɔdwe mu yɛ me sɛ nea obi de dadeɛ rehyɛ hɔ.
Shoulder,Mobility & Instability,My shoulder clicks and catches every time I raise my arm.,M'abɔdwe no ka na ɛkyere bere biara a mɛma me nsa nkorɔ soro.
Shoulder,Mobility & Instability,My shoulder clicks and catches every time I raise my arm.,M'abɔdwe no kyerɛkyerɛ na ɛkyere bere biara a mɛma me nsa nkorɔ soro.
Shoulder,Mobility & Instability,My shoulder feels like it has popped out of its socket.,M'abɔdwe no te sɛ nea ɛabue afiri baabi a ɛte no.
Shoulder,Mobility & Instability,My shoulder feels like it has popped out of its socket.,M'abɔdwe no te sɛ nea ɛapue afiri ne mu.
Shoulder,Mobility & Instability,My shoulder feels like it has popped out of its socket.,M'abɔdwe no te sɛ nea ɛfiri ne gyinabea mu akɔ.
Shoulder,Mobility & Instability,My shoulder clicks and catches every time I raise my arm.,M'abɔdwe no twam na ɛkyere bere biara a mɛma me nsa nkorɔ soro.
Shoulder,Pain & Aching,My shoulder aches so badly it wakes me up every time I roll onto it.,"M'abɔdwe no yɛ me ya dodo, ɛma menyan bere biara a mɛdan mɛto so."
Shoulder,Pain & Aching,My shoulder aches so badly it wakes me up every time I roll onto it.,M'abɔdwe no yɛ me ya ma ɛma menyan bere biara a mɛdan mɛto so.
Shoulder,Pain & Aching,It feels like a sharp knife is stabbing the top of my shoulder.,"M'abɔdwe soro yɛ me ya pa ara, ɛte sɛ nea wɔretwa me ne sekan."
Shoulder,Pain & Aching,It feels like a sharp knife is stabbing the top of my shoulder.,M'abɔdwe soro yɛ me ya sɛ nea wɔretwa me ne sekan.
Shoulder,Pain & Aching,My shoulder aches so badly it wakes me up every time I roll onto it.,M'abɔdwe yɛ me ya dodo ma ɛma menyan bere biara a mɛpere me ho mɛto so.
Lower Abdomen,Localised Pain,"I have a deep, throbbing ache right around my belly button.","M'afono hɔ retwiriw me, na ɛyɛ me ya dodo."
Lower Abdomen,Localised Pain,"I have a dull, constant ache in my lower right side.",M'afã nifa ase hɔ yɛ me yaw a ɛnyɛ den nanso ɛkɔ so.
Chest,Respiratory & Breathing,I feel like I'm suffocating even though I'm breathing fast.,M'akoma tu ntɛm nanso ɛte sɛ deɛ merehome nni mu na merewu.
Upper Back,Muscle & Soft Tissue,It feels like a giant knot is jammed right between my shoulder blades.,M'akyi a ɛda m'abɔdwe mmienu ntam hɔ no ayɛ den dodo sɛ adeɛ bi a ɛda hɔ.
Lower Back,General Lumbar Pain,"I have a dull, heavy ache right across my beltline.","M'akyi a ɛda me bɔtɔ mu hɔ no, ɛyɛ me ya dɛɛdɛɛ."
Lower Back,Morning Stiffness,My back is so stiff in the morning I have to roll out of bed.,"M'akyi akye me anɔpa koraa sɛnea ɛbɛyɛ na mafi mpa so no, ɛsɛ sɛ metwitwa me ho."
Lower Back,General Lumbar Pain,It hurts to bend forward even an inch — my back just freezes.,"M'akyi akyere me ma sɛ mɛkotow kakra mpo a, ɛyɛ me ya."
Lower Back,Spine & Structural,"My lower spine feels weak, like it might snap if I stand up straight.","M'akyi ase abrɛ, na sɛ mesɔre gyina pɛpɛɛpɛ a, ɛte sɛ nea ɛbɛbubu."
Lower Back,General Lumbar Pain,My lower back feels like it's on fire after sitting for five minutes.,M'akyi ase hye me paa sɛ me tena ase kakra a.
Lower Back,Spine & Structural,It feels like my vertebrae are grinding together like sandpaper.,"M'akyi ase te sɛ nea ɛbɛbubu sɛ mesɔre gyina a, ɛyɛ me mmerɛw."
Lower Back,Spine & Structural,"My lower spine feels weak, like it might snap if I stand up straight.",M'akyi ase yɛ me hye a ɛte sɛ egya sɛ metena ase simma nnum.
Lower Back,Spine & Structural,It feels like my vertebrae are grinding together like sandpaper.,"M'akyi ase yɛ me mmerɛw, sɛ mesɔre gyina pintinn a, ɛbɛbubu."
Lower Back,Spine & Structural,I feel a clicking or popping in my spine every time I twist.,M'akyi nnompe no nkutann te sɛ nwura.
Lower Back,Spine & Structural,I feel a clicking or popping in my spine every time I twist.,M'akyi nnompe no rekuropɔn te sɛ nea wɔde nwura a ɛyɛ nkatakata rebɔ ho.
Lower Back,Spine & Structural,I feel a clicking or popping in my spine every time I twist.,M'akyi nnompe no rekyere me te sɛ nea wɔde nwura a ɛyɛ nkatakata rehyehyɛ.
Lower Back,Spine & Structural,I feel a clicking or popping in my spine every time I twist.,M'akyi nnompe no te sɛ nea ɛrebubu anaa ɛrekuropɔn te sɛ nea wɔde nwura rebɔ.
Lower Back,Spine & Structural,I feel a clicking or popping in my spine every time I twist.,M'akyi nnompe no te sɛ nea ɛrekuropɔn wɔn ho te sɛ nea wɔde nwura hohoro.
Lower Back,Spine & Structural,The pain feels like a deep boring ache right inside the bone of my spine.,M'akyi nnompe no yɛ me ya denneennen sɛ nea ɛretu.
Upper Back,Muscle & Soft Tissue,"My upper back feels like the muscles are tied in tight, painful knots.",M'akyi soro no ayɛ me sɛ nnompe a asene dodo.
Upper Back,Muscle & Soft Tissue,"My upper back feels like the muscles are tied in tight, painful knots.",M'akyi soro no mu nnompe no ayɛ me sɛ nea wɔakyekyere no dendeenden.
Upper Back,Muscle & Soft Tissue,"My upper back feels like the muscles are tied in tight, painful knots.",M'akyi soro no mu nnompe no mu ayɛ den na ɛyɛ me ya.
Upper Back,Muscle & Soft Tissue,"My upper back feels like the muscles are tied in tight, painful knots.",M'akyi soro no mu te sɛ nea nnompe no ayɛ nkyekyerɛ a ɛyɛ me ya.
Upper Back,Muscle & Soft Tissue,"My upper back feels like the muscles are tied in tight, painful knots.",M'akyi soro no mu yɛ me sɛ biribi a wɔakyekyere no na ɛyɛ me ya.
Upper Back,Breath-Related Pain,"I have a sharp, stabbing pain in my upper back when I take a deep breath.",M'akyi soro no mu yɛ me ya kɛseɛ berɛ a merenya ahum kɛseɛ.
Upper Back,Breath-Related Pain,"I have a sharp, stabbing pain in my upper back when I take a deep breath.",M'akyi soro no yɛ me ya sɛ nea obi de dadeɛ bɔ me berɛ a merenya ahum kɛseɛ.
Lower Back,Morning Stiffness,My back is so stiff in the morning I have to roll out of bed.,"M'akyi yɛ den anɔpa, enti na m'atwitwa me ho na mafi mpa so."
Lower Back,Morning Stiffness,My back is so stiff in the morning I have to roll out of bed.,"M'akyi yɛ den anɔpa, enti ɛsɛ sɛ metwitwa me ho daka ansa na mafi mpa so."
Ankle & Foot,Nerve & Sensation,My toes feel completely numb and I can't feel the ground properly.,"M'anase nsateaa nni ho, ɛno nti mentumi nte fam no yie."
Ankle & Foot,Nerve & Sensation,"There's a burning, electric sensation in the sole of my foot.",M'anase retete me a ɛte sɛ ogya anaa ahoɔden.
Lower Back,Morning Stiffness,I can barely stand up straight for the first hour after waking.,"M'ani bue a, dɔnhwerew a edi kan no, m'akyi nnyina tẽẽ."
Lower Back,Morning Stiffness,I can barely stand up straight for the first hour after waking.,"M'ani bue dɔnhwerew a edi kan no, ɛyɛ den sɛ mɛnyina tẽẽ."
