body_part,sub_category,original_english,twi_translation
Eyes,Pain & Pressure,"I have a dull, constant pressure right behind my eye.",M'ani akyi pɛɛ yɛ me duru daa a enni akyire.
Eyes,Pain & Pressure,My eye hurts so much it feels like it's about to pop.,M'ani yɛ me ya ara ma ɛte sɛ nea ɛrebɛpae.
Eyes,Pain & Pressure,My eye hurts so much it feels like it's about to pop.,"Yaw a ɛwɔ m'ani mu nti, ɛte sɛ nea ɛrepue firi m'anim."
Eyes,Pain & Pressure,My eye hurts so much it feels like it's about to pop.,M'ani mu reyɛ me ya denden sɛ nea ɛrebɛpue abɔnten.
Eyes,Pain & Pressure,My eye hurts so much it feels like it's about to pop.,M'ani yɛ me ya dodo sɛ nea ɛrebɛtutu afiri ne nwene mu.
Eyes,Pain & Pressure,My eye hurts so much it feels like it's about to pop.,Yaw no dɔɔso wɔ m'ani mu ara ma ɛte sɛ nea ɛbɛpae aka m'anim.
Eyes,Vision Changes,"My vision keeps going blurry, like looking through a foggy window.",M'aniso reyɛ kusuu te sɛ nea merehwɛ mfomfiri a wusuo gu ho mu.
Eyes,Vision Changes,"My vision keeps going blurry, like looking through a foggy window.",M'aniso reyɛ kusuu te sɛ nea merehwɛ mfomfiri a wisie kata ho.
Eyes,Vision Changes,"My vision keeps going blurry, like looking through a foggy window.","M'ani reredwotwa, ɛte sɛ nea worehwɛ mfomfiri a munumkum gu ho."
Eyes,Vision Changes,"My vision keeps going blurry, like looking through a foggy window.","M'ani so reyɛ kusuu, te sɛ nea mfomfiri kata m'ani anim."
Eyes,Vision Changes,"My vision keeps going blurry, like looking through a foggy window.","Mehu ade yiye, m'ani so yɛ kusuu te sɛ mfomfiri a akata mfoni anim."
Eyes,Vision Changes,I'm seeing weird flashing lights and zig-zag lines.,Mihu anyinam-anyinam ne nsensanee a ɛkɔ mfa nkyɛn mfa nkyɛn wɔ m'ani so.
Eyes,Vision Changes,I'm seeing weird flashing lights and zig-zag lines.,"M'aniso paipai te sɛ anyinam, na mehu nsensanee a akyeakyea nso."
Eyes,Vision Changes,I'm seeing weird flashing lights and zig-zag lines.,Merehu anyinam-anyinam ne nsensanee a ɛnkɔ tee wɔ m'aniso.
Eyes,Vision Changes,I'm seeing weird flashing lights and zig-zag lines.,M'ani so repae hyerɛnhyerɛn na mehu nsensanee bɔnkɔbɔnkɔ.
Eyes,Vision Changes,I'm seeing weird flashing lights and zig-zag lines.,Mihu akanea a ɛrepaipai ne nsensanee a ɛkɔ bɔnkɔbɔnkɔ wɔ m'ani anim.
Eyes,Vision Changes,There's a dark shadow or curtain dropping across part of my vision.,Sunu tumtum bi anaa ntwamutam na ɛresian abubu m'aniso fã bi.
Eyes,Vision Changes,There's a dark shadow or curtain dropping across part of my vision.,Ɛte sɛ nea ntwamutam tumtum bi resian aka m'ani fã bi atom.
Eyes,Vision Changes,There's a dark shadow or curtain dropping across part of my vision.,Mihu sunu tumtum bi a ɛresian bɛkata m'ani fã bi so.
Eyes,Vision Changes,There's a dark shadow or curtain dropping across part of my vision.,Kusuuyɛ bi a ɛte sɛ ntwamutam resian abɛkata m'aniso fã bi.
Eyes,Vision Changes,There's a dark shadow or curtain dropping across part of my vision.,Sunu tumtum bi gu m'ani fã bi so te sɛ nea ntwamutam reba fam.
Eyes,Vision Changes,I'm seeing double — everything looks split into two images.,Mihu ade mmienu mmienu — biribiara a mɛhwɛ biara akyɛ mu mmienu.
Eyes,Vision Changes,I'm seeing double — everything looks split into two images.,"M'ani hu ade mmienu mmienu, biribiara yɛ me mmienu mmienu."
Eyes,Vision Changes,I'm seeing double — everything looks split into two images.,"Ade biara a mɛhwɛ no, mihu no mmienu."
Eyes,Vision Changes,I'm seeing double — everything looks split into two images.,"M'aniso reyɛ me mmienu mmienu, te sɛ nea ade koro ayɛ mmienu."
Eyes,Vision Changes,I'm seeing double — everything looks split into two images.,"Mehu ade biara anim mmienu, ɛnyɛ baako na mihu."
Eyes,Vision Changes,There are floaters drifting across my vision like tiny specks.,Mihu nneɛma nketenkete bi te sɛ nwansena anaa mfutuma a ɛretu fa m'ani so.
Eyes,Vision Changes,There are floaters drifting across my vision like tiny specks.,Nneɛma nketenkete bi a ɛte sɛ mfutuma retwam wɔ m'ani anim.
Eyes,Vision Changes,There are floaters drifting across my vision like tiny specks.,Ɛte sɛ nea mfutuma nketenkete bi nenam m'ani so a ɛnhyɛ baabiara.
Eyes,Vision Changes,There are floaters drifting across my vision like tiny specks.,Mihu nsensanee anaa nsa nketenkete bi a ɛnenam m'ani so.
Eyes,Vision Changes,There are floaters drifting across my vision like tiny specks.,Nneɛma nketenkete bi te sɛ nwansena tutu fa m'aniso te sɛ nea ɛretwam.
Eyes,Vision Changes,My central vision has a blurry or dark spot right in the middle.,M'ani mfimfini pɛɛ reyɛ kusuu anaa sum bɔnkɔɔ bi gyina hɔ.
Eyes,Vision Changes,My central vision has a blurry or dark spot right in the middle.,Baabi pɔtee a mehwɛ wɔ mfimfini pɛɛ no yɛ kusuu anaa ɛyɛ tumtum.
Eyes,Vision Changes,My central vision has a blurry or dark spot right in the middle.,Mihu mma tumtum bi anaa kusuuyɛ bi wɔ m'ani mfimfini pɛɛ.
Eyes,Vision Changes,My central vision has a blurry or dark spot right in the middle.,M'ani kɔ gyinabea a mfimfini hɔ ayɛ tumtum anaa kusuu na merenhu hwee yiye hɔ.
Eyes,Vision Changes,My central vision has a blurry or dark spot right in the middle.,Kusuuyɛ anaa sunu tumtum bi te m'aniso mfimfini pɛɛ a ɛmma mehu ade yiye.
Eyes,Redness & Irritation,My eye is so red it looks like it's filled with blood.,M'ani reyɛ kɔkɔɔ te sɛ mogya ahyɛ mu ma.
Eyes,Redness & Irritation,My eye is so red it looks like it's filled with blood.,M'ani ayɛ kɔɔ te sɛ mogya na ɛwɔ mu.
Eyes,Redness & Irritation,My eye is so red it looks like it's filled with blood.,M'ani abere kɔɔ te sɛ mogya na ɛretuo mu.
Eyes,Redness & Irritation,My eye is so red it looks like it's filled with blood.,"Sɛ hwɛ m'ani a, ayɛ kɔkɔɔ te sɛ mogya pɛɛ."
Eyes,Redness & Irritation,My eye is so red it looks like it's filled with blood.,"M'ani ayɛ kɔkɔɔ dodo, ɛte sɛ nea mogya ahyɛ m'ani no mu ma."
Eyes,Redness & Irritation,My eyes are burning and watering constantly.,M'aniwa mu hyehyɛ me na nsuo firi mu daa.
Eyes,Redness & Irritation,My eyes are burning and watering constantly.,M'aniwa mu reyew me na anisuo retu gu ara mmaae.
Eyes,Redness & Irritation,My eyes are burning and watering constantly.,M'aniwa hyehyɛ me paa na anisuo nnyae mfeɛ.
Eyes,Redness & Irritation,My eyes are burning and watering constantly.,M'aniwa yɛ me ya na nsuo gu firi mu mmerɛ biara.
Eyes,Redness & Irritation,My eyes are burning and watering constantly.,M'aniwa rehyew me na nsuo retu firi mu daa nyinaa.
Eyes,Redness & Irritation,My eyelids feel so swollen they're almost stuck shut.,M'ani akyi hon dodo kɔsi sɛ m'ani hyehyɛ mu a ɛntumi mmue.
Eyes,Redness & Irritation,My eyelids feel so swollen they're almost stuck shut.,M'animatadeɛ no ahon paa ma ɛreyɛ aka m'ani atomu koraa.
Eyes,Redness & Irritation,My eyelids feel so swollen they're almost stuck shut.,"Sɛ m'ani akyi honae nti, m'ani aka abom mpo ɛreka ketee."
Eyes,Redness & Irritation,My eyelids feel so swollen they're almost stuck shut.,M'animatadeɛ no ahon dodo ɛreyɛ aka m'ani atomu ma ɛntumi mmue koraa.
Eyes,Redness & Irritation,My eyelids feel so swollen they're almost stuck shut.,"M'ani honae yi nti, m'ani hyehyɛ mu na ɛntumi mmue yie."
Eyes,Redness & Irritation,There's a crusty discharge sealing my eye shut in the morning.,Anɔpa biara m'anitɛm bɔ ka m'ani bom ma ɛntumi mmue.
Eyes,Redness & Irritation,There's a crusty discharge sealing my eye shut in the morning.,Anɔpa biara anitɛm gu m'anim ma ɛka bomu ma ɛnyɛ mmerɛ sɛ mɛbue m'ani.
Eyes,Redness & Irritation,There's a crusty discharge sealing my eye shut in the morning.,Anitɛm kyene bɔ ka m'ani bomu anɔpa biara.
Eyes,Redness & Irritation,There's a crusty discharge sealing my eye shut in the morning.,Anɔpa biara anitɛm akyene aka m'ani atom ma ɛnsɔ koraa.
Eyes,Redness & Irritation,There's a crusty discharge sealing my eye shut in the morning.,Anitɛm bɔ ka m'ani bomu anɔpatutuutu ma ɛntumi mmue koraa.
Eyes,Redness & Irritation,"My eye feels intensely itchy, like I desperately need to rub it.",M'ani mu keka me dodo ma mepɛ sɛ mede me nsa twe mu denneennen.
Eyes,Redness & Irritation,"My eye feels intensely itchy, like I desperately need to rub it.",M'ani yɛ me keka dodo ma mepɛ sɛ mefɛ m'ani mu sesei ara.
Eyes,Redness & Irritation,"My eye feels intensely itchy, like I desperately need to rub it.",M'ani ho keka me paa ma me ho repɛpɛ me sɛ mɛtwe mu.
Eyes,Redness & Irritation,"My eye feels intensely itchy, like I desperately need to rub it.",M'ani mu rere me dodo te sɛ merepɛ sɛ mɛtwe mu paa.
Eyes,Redness & Irritation,"My eye feels intensely itchy, like I desperately need to rub it.",M'ani ho yɛ me keka ara ma mepɛ sɛ mɛtwe mu a ɛmmaae.
Eyes,Light & Sensitivity,Bright light feels like a spike being driven through my eye.,"Sɛ hann hyɛ m'ani so a, ɛyɛ me ya te sɛ dadewa kɛseɛ a yɛde rewɔ m'ani."
Eyes,Light & Sensitivity,Bright light feels like a spike being driven through my eye.,"Hann kɛseɛ biara bɔ m'ani so a, ɛte sɛ nea yɛde dadeɛ pea rewɔ m'ani mu."
Eyes,Light & Sensitivity,Bright light feels like a spike being driven through my eye.,Hann kɛseɛ de ayaayadeɛ ba m'aniwa mu te sɛ dadeɛ pea a yɛde rewɔ mu.
Eyes,Light & Sensitivity,Bright light feels like a spike being driven through my eye.,Hann hyirenyen biara yɛ m'ani ya te sɛ dadewa a yɛde rewɔ m'aniwa mu.
Eyes,Light & Sensitivity,Bright light feels like a spike being driven through my eye.,Hann a ɛhyerɛ paa te sɛ dadeɛ pea a yɛde rewɔ m'aniwa mu tẽẽ.
Eyes,Light & Sensitivity,Even normal room light makes my eyes ache and water.,"Sɛ kanea ketewa bi mpo bɔ m'ani so a, ɛyɛ me ya na nnisuo gu."
Eyes,Light & Sensitivity,Even normal room light makes my eyes ache and water.,M'ani so kanea koraa mpo yɛ m'ani ya na ɛma nnisuo ba mu.
Eyes,Light & Sensitivity,Even normal room light makes my eyes ache and water.,Fie kanea pii mpo yɛ m'ani ya na ɛma m'ani yɛ nsuonsuo.
Eyes,Light & Sensitivity,Even normal room light makes my eyes ache and water.,"Sɛ kanea kakra bi mpo hyerɛn gu m'ani so a, ɛpaepae mu na nnisuo gu."
Eyes,Light & Sensitivity,Even normal room light makes my eyes ache and water.,Kanea biara mpo yɛ m'ani ya na ɛma nnisuo fi mu ba.
Eyes,Light & Sensitivity,I have to squint constantly because everything looks too bright.,Ɛsɛ sɛ miwia m'ani dodoɔ no ara mpo ɛfiri sɛ biribiara hyerɛn dodo.
Eyes,Light & Sensitivity,I have to squint constantly because everything looks too bright.,M'ani fura fura mmerɛ biara ɛfiri sɛ kanea no yɛ den dodo.
Eyes,Light & Sensitivity,I have to squint constantly because everything looks too bright.,Minyaatwia m'ani daa ɛfiri sɛ biribiara hyerɛn dodo.
Eyes,Light & Sensitivity,I have to squint constantly because everything looks too bright.,Ɛsɛ sɛ mikumkum m'ani mmerɛ biara ɛfiri sɛ m'anim hyerɛn dodo.
Eyes,Light & Sensitivity,I have to squint constantly because everything looks too bright.,Kanea no hyerɛn dodo enti ɛsɛ sɛ miwia m'ani mmerɛ biara.
Ears,Pain & Pressure,"There's a deep, throbbing ache inside my ear.",Eya bi a ɛyɛ den na ɛhuru gu me aso mu tɔnn.
Ears,Pain & Pressure,"There's a deep, throbbing ache inside my ear.",Biribi repaepae me asom tɔnn ɛyɛ me ya dodo.
Ears,Pain & Pressure,"There's a deep, throbbing ache inside my ear.",M'aso mu reyɛ me ya kɛseɛ na ɛrepupu.
Ears,Pain & Pressure,"There's a deep, throbbing ache inside my ear.",Mete yaw bi a ɛrepupu fa me asom tɔnn mu.
Ears,Pain & Pressure,"There's a deep, throbbing ache inside my ear.",Yaw kɛseɛ bi repupu me aso mu tɔnn.
Ears,Pain & Pressure,It feels like a sharp spike is being jammed into my ear canal.,Ɛte sɛ nea yɛde dadeɛ a ɛyɛ nnam rehyɛ me asom.
Ears,Pain & Pressure,It feels like a sharp spike is being jammed into my ear canal.,Ɛyɛ me sɛ yɛde dadeɛ nnam bi rewɔ me aso tokuro mu.
Ears,Pain & Pressure,It feels like a sharp spike is being jammed into my ear canal.,Ɛte sɛ nea biribi a ɛyɛ nnam repue me aso mu tɔnn.
Ears,Pain & Pressure,It feels like a sharp spike is being jammed into my ear canal.,Te sɛ dadeɛ nnam bi a yɛde rehyɛ m'asotokuro mu denneennen.
Ears,Pain & Pressure,It feels like a sharp spike is being jammed into my ear canal.,M'aso mu reyɛ me ya te sɛ nea dadeɛ nnam bi rewɔ me mu.
Ears,Pain & Pressure,My ear feels completely blocked and full of pressure.,M'aso asiw koraa na ɛmu ayɛ duru.
Ears,Pain & Pressure,My ear feels completely blocked and full of pressure.,M'aso asiw tɔnn te sɛ biribi ahyɛ mu amã.
Ears,Pain & Pressure,My ear feels completely blocked and full of pressure.,Mete nka sɛ m'aso asiw koraa na nhyɛsoɔ wɔ mu.
Ears,Pain & Pressure,My ear feels completely blocked and full of pressure.,M'aso mu asiw koraa na ahyɛ mma.
Ears,Pain & Pressure,My ear feels completely blocked and full of pressure.,M'aso mu akyere koraa seesei na ɛyɛ duru dodo.
Ears,Pain & Pressure,It feels like my ear is stuffed with cotton wool.,Ɛte sɛ nea yɛde asaawa ahyɛ me aso mu ma ama m'aso asiw.
Ears,Pain & Pressure,It feels like my ear is stuffed with cotton wool.,Mete nka sɛ asaawa ahyɛ me aso mu maama.
Ears,Pain & Pressure,It feels like my ear is stuffed with cotton wool.,Ɛyɛ me sɛ m'aso mu ayɛ mma ne asaawa.
Ears,Pain & Pressure,It feels like my ear is stuffed with cotton wool.,Te sɛ nea asaawa ahyɛ m'aso mu koraa.
Ears,Pain & Pressure,It feels like my ear is stuffed with cotton wool.,M'aso mu ayɛ mmerɛwu te sɛ asaawa ahyɛ mu.
Ears,Pain & Pressure,There's a burning pain inside my ear that won't stop.,M'aso mu hyɛ me ya dendeenden a ɛnnyae.
Ears,Pain & Pressure,There's a burning pain inside my ear that won't stop.,M'aso mu yɛ me hyehyeehye na yaw no nnyae koraa.
Ears,Pain & Pressure,There's a burning pain inside my ear that won't stop.,Yaw bi a ɛhyɛ reprapra me wɔ m'aso mu a ɛnnyae.
Ears,Pain & Pressure,There's a burning pain inside my ear that won't stop.,M'aso mu reprapra me na ɛyɛ me ya a ɛnnyae da.
Ears,Pain & Pressure,There's a burning pain inside my ear that won't stop.,M'aso mu yɛ hye na ɛreyɛ me ya a ɛnto twene.
Ears,Pain & Pressure,My ear hurts so bad the pain radiates into my jaw.,M'aso reyɛ me ya araa ma yaw no akɔbɔ m'abɔdweɛ mu.
Ears,Pain & Pressure,My ear hurts so bad the pain radiates into my jaw.,"M'aso yɛ me ya dodo, ɛkɔsi m'abɔdweɛ mu."
Ears,Pain & Pressure,My ear hurts so bad the pain radiates into my jaw.,Yaw a ɛwɔ m'aso mu no ano yɛ den araa ma ɛredu m'abɔdweɛ ho.
Ears,Pain & Pressure,My ear hurts so bad the pain radiates into my jaw.,M'aso mu reyɛ me ya dendeenden na ɛrekɔ m'abɔdweɛ mu.
Ears,Pain & Pressure,My ear hurts so bad the pain radiates into my jaw.,M'aso mu yaw no kyɛfa kɔpim m'abɔdweɛ mu.
Ears,Hearing Changes,There's a constant loud ringing in my ear that never goes away.,"Dadaada no, biribi firi dendeenden wɔ m'aso mu a ɛnyera da."
Ears,Hearing Changes,There's a constant loud ringing in my ear that never goes away.,M'aso mu firi dendeenden a ɛnnyae da.
Ears,Hearing Changes,There's a constant loud ringing in my ear that never goes away.,Nnyegyeeɛ bi te sɛ dɔnn firi m'aso mu daa a ɛnnyae da.
Ears,Hearing Changes,There's a constant loud ringing in my ear that never goes away.,Nnyegyeeɛ kɛseɛ bi gyigye m'aso mu daa na ɛnkɔ ara.
Ears,Hearing Changes,There's a constant loud ringing in my ear that never goes away.,M'aso mu dede dendeenden daa na ɛnnyae bio.
Ears,Hearing Changes,I keep hearing a buzzing or humming sound that isn't there.,Mete nnyegyeeɛ bi te sɛ nwansena gyigye me wɔ m'aso mu nso hwee nni hɔ.
Ears,Hearing Changes,I keep hearing a buzzing or humming sound that isn't there.,M'aso mu gyigye me ho nsuhwɛɛ a ɛfiri fam.
Ears,Hearing Changes,I keep hearing a buzzing or humming sound that isn't there.,"Mete nnyegyeeɛ bi te sɛ ""hummm"" wɔ m'aso mu nso saa nnyegyeeɛ no mfiri baabiara."
Ears,Hearing Changes,I keep hearing a buzzing or humming sound that isn't there.,Mete gyigyeegye bi wɔ m'aso mu daa nso asɛm kɛseɛ biara nni hɔ a ɛrekɔ so.
Ears,Hearing Changes,I keep hearing a buzzing or humming sound that isn't there.,Daa ara mete nnyegyeeɛ mfuturo bi wɔ m'aso mu nso nnyegyeeɛ biara nni aduanten.
Ears,Hearing Changes,"Sounds seem muffled, like I'm hearing everything underwater.","Nnyegyeeɛ a mete no nyɛ fann, te sɛ nea mewɔ nsuo ase na meretie asɛm."
Ears,Hearing Changes,"Sounds seem muffled, like I'm hearing everything underwater.","Mete nneɛma basabasa, te sɛ nea mewɔ nsuo ase."
Ears,Hearing Changes,"Sounds seem muffled, like I'm hearing everything underwater.","M'aso mu asiw koraa, mete asɛm te sɛ nea ɛrekɔ so wɔ nsuo ase."
Ears,Hearing Changes,"Sounds seem muffled, like I'm hearing everything underwater.","Asɛm biara a mete no mu nyɛ da hɔ, te sɛ nea nsuo ahyɛ m'aso."
Ears,Hearing Changes,"Sounds seem muffled, like I'm hearing everything underwater.","Mete nnyegyeeɛ no nyɛ fann, te sɛ nea mehyɛ nsuo ase na obi rekasa kyerɛ me."
Ears,Hearing Changes,My hearing suddenly went dull in one ear.,"Pratɔ, m'aso baako asiw na mentee asɛm yie bio."
Ears,Hearing Changes,My hearing suddenly went dull in one ear.,M'aso baako bɔɔ asiw mpofirim na mete asɛm brɛoo.
Ears,Hearing Changes,My hearing suddenly went dull in one ear.,"Mpofirim ara, m'aso baako mu tewee na mantumi ante asɛm yie."
Ears,Hearing Changes,My hearing suddenly went dull in one ear.,M'aso baako asiw prampre na mentumi nte asɛm dendeenden bio.
Ears,Hearing Changes,My hearing suddenly went dull in one ear.,M'ateyɛ wɔ m'aso baako mu no kɔɔ fam prampre.
Ears,Hearing Changes,"I can hear a pulsing, whooshing sound that beats with my heart.",Mete nnyigyei bi wɔ m'asom a ɛbɔ dɛ dɛ dɛ te sɛ m'akoma.
Ears,Hearing Changes,"I can hear a pulsing, whooshing sound that beats with my heart.","M'asom yɛ me we we we, na ɛbɔ ne ho te sɛ m'akoma ɔnom."
Ears,Hearing Changes,"I can hear a pulsing, whooshing sound that beats with my heart.",Mete dɛnkyɛm-dɛnkyɛm nnyigyei bi wɔ m'asom mu a ɛne m'akomabɔ hyia.
Ears,Hearing Changes,"I can hear a pulsing, whooshing sound that beats with my heart.","Sɛ m'akoma bɔ a, mete nnyigyei bi wɔ m'aso mu a ɛne no bɔ bom."
Ears,Hearing Changes,"I can hear a pulsing, whooshing sound that beats with my heart.",Biribi bɔ m'asom te sɛ akomabɔ na ɛyɛ hwerɛɛ.
Ears,Discharge & Sensation,"There's a wet, draining feeling deep inside my ear.",Mete nka sɛ biribi yɛ fɔɔm na ɛretene wɔ m'aso mu tɔnn.
Ears,Discharge & Sensation,"There's a wet, draining feeling deep inside my ear.",M'aso mu dɔnn hɔ yɛ me dɔwɔ-dɔwɔ na mete nka sɛ biribi resen.
Ears,Discharge & Sensation,"There's a wet, draining feeling deep inside my ear.",Biribi a ɛyɛ fɔm refiri m'asom mu tɔnn reba.
Ears,Discharge & Sensation,"There's a wet, draining feeling deep inside my ear.",Mete nka sɛ msuo retene wɔ m'aso mu dɔnn hɔ.
Ears,Discharge & Sensation,"There's a wet, draining feeling deep inside my ear.",M'aso mu nsuo bi retu kɔnkrɔn-kɔnkrɔn wɔ mu dɔnn.
Ears,Discharge & Sensation,I can feel fluid moving around inside my ear when I tilt my head.,"Sɛ mekyea me ti a, mete nka sɛ nsuo bi rekekã ne ho wɔ m'aso mu."
Ears,Discharge & Sensation,I can feel fluid moving around inside my ear when I tilt my head.,"Sɛ m'ati kyea a, mete nka sɛ biribi fɔm kɔ na ɛba wɔ m'asom."
Ears,Discharge & Sensation,I can feel fluid moving around inside my ear when I tilt my head.,Nsuo bi kyerɛ m'aso mu kwan sɛ mekyea me ti.
Ears,Discharge & Sensation,I can feel fluid moving around inside my ear when I tilt my head.,"Sɛ mekyea me kɔn a, mete nka sɛ nsuo bi retutu wɔ m'asom mu."
Ears,Discharge & Sensation,I can feel fluid moving around inside my ear when I tilt my head.,"Sɛ mekyea me ti a, mete nka sɛ nsuo bi redwane wɔ m'aso mu."
Ears,Discharge & Sensation,There's an itching deep inside the ear canal I can't reach.,M'aso mu tɔnn redɔ me nanso mentumi nka hɔ.
Ears,Discharge & Sensation,There's an itching deep inside the ear canal I can't reach.,Mete hene bi wɔ m'aso tokuro mu dɔnn a me nsa ntumi nnduru hɔ.
Ears,Discharge & Sensation,There's an itching deep inside the ear canal I can't reach.,Ɛredɔ me wɔ m'aso tokuro no mu tɔnn a mentumi ntɔtɔ mu.
Ears,Discharge & Sensation,There's an itching deep inside the ear canal I can't reach.,M'asom mu redɔ me dɔnn a mintumi nkɔ bɛɛbiara a mɛtumi masee.
Ears,Discharge & Sensation,There's an itching deep inside the ear canal I can't reach.,Mete hene nka wɔ m'aso mu a mentumi nnya mmoa mfa nka hɔ.
Ears,Discharge & Sensation,A sticky or bloody discharge is coming out of my ear.,Biribi a ɛsɔ fãm anaasɛ mogya refiri m'asom reba.
Ears,Discharge & Sensation,A sticky or bloody discharge is coming out of my ear.,Msuo bi a ɛda m'asom mu a ɛyɛ dɛkɛdɛkɛ anaasɛ mogya wom repue m'aso mu.
Ears,Discharge & Sensation,A sticky or bloody discharge is coming out of my ear.,M’asom retu nsuo bi a ɛsɔwɔ anaa mogya.
Ears,Discharge & Sensation,A sticky or bloody discharge is coming out of my ear.,Mogya anaasɛ biribi a ɛyɛ bɛtɛɛ repue firi m'aso mu.
Ears,Discharge & Sensation,A sticky or bloody discharge is coming out of my ear.,Nsuo kɔla-kɔla bi a ɛsɔ na mogya fra mu repue firi m'asom.
Nose,Congestion & Pressure,My sinuses feel packed tight like concrete.,Me hwenem ne m’anim afã ha ahyɛ ma dwoodwoo te sɛ ɛboɔ.
Nose,Congestion & Pressure,My sinuses feel packed tight like concrete.,M'asitewaa mu ahyɛ mma ma ayɛ den te sɛ simandian.
Nose,Congestion & Pressure,My sinuses feel packed tight like concrete.,Me hwenem ahyɛ ma duruduru te sɛ aboɔ a ɛda hɔ.
Nose,Congestion & Pressure,My sinuses feel packed tight like concrete.,Me hwenem kwan nyinaa nsi te sɛ nea yɛde dɔteɛ asiw ano.
Nose,Congestion & Pressure,My sinuses feel packed tight like concrete.,Mete nka sɛ me hwenem nyinaa asiw ma ayɛ den paa te sɛ simante.
Nose,Congestion & Pressure,There's a heavy pressure across my cheekbones and forehead.,Me moma ne m'afono ho yɛ me duru papaapa.
Nose,Congestion & Pressure,There's a heavy pressure across my cheekbones and forehead.,Biribi rehyɛ me moma ne m'afono nnompe so denden.
Nose,Congestion & Pressure,There's a heavy pressure across my cheekbones and forehead.,"Mete nka sɛ m'anim yɛ duru, titiriw me moma ne m'afono so."
Nose,Congestion & Pressure,There's a heavy pressure across my cheekbones and forehead.,Ɔhyɛ bi da me moma ne m'afono so a ɛreyɛ me yaw.
Nose,Congestion & Pressure,There's a heavy pressure across my cheekbones and forehead.,Me moma ne m'afono ho akyere me na ɛyɛ duru nso.
Nose,Congestion & Pressure,My nose is so blocked I can only breathe through my mouth.,"Me hwene apon, enti m'ano na mede home."
Nose,Congestion & Pressure,My nose is so blocked I can only breathe through my mouth.,"Ɛsiane sɛ me hwene mu asiw nti, gye sɛ mede m'ano ansa na matumi ahome."
Nose,Congestion & Pressure,My nose is so blocked I can only breathe through my mouth.,"Me hwene mu asiw denden, enti m'ano nkoa na mede home."
Nose,Congestion & Pressure,My nose is so blocked I can only breathe through my mouth.,"Mentumi mfa me hwene nnhome, enti m'ano na mede rehome yi."
